chr,start,end,state,median,integer_median,integer_copy_number,cell_id
1,1,12500000,2,0.5131791,0.9843547,1.0,SA501X4XB00794-A90703ABC-R03-C21
1,12500001,156000000,3,1.0680116,2.0486068,2.0,SA501X4XB00794-A90703ABC-R03-C21
1,156000001,249500000,4,1.5203165,2.9161955,3.0,SA501X4XB00794-A90703ABC-R03-C21
2,1,26500000,2,0.4885105,0.9370365,1.0,SA501X4XB00794-A90703ABC-R03-C21
2,26500001,50000000,3,1.1203529,2.1490053,2.0,SA501X4XB00794-A90703ABC-R03-C21
2,50000001,64000000,5,2.1785927,4.1788684,4.0,SA501X4XB00794-A90703ABC-R03-C21
2,64000001,159500000,3,1.0039087,1.9256478,2.0,SA501X4XB00794-A90703ABC-R03-C21
2,159500001,176500000,2,0.4785403,0.9179123,1.0,SA501X4XB00794-A90703ABC-R03-C21
2,176500001,243500000,3,1.0477203,2.0096851,2.0,SA501X4XB00794-A90703ABC-R03-C21
3,1,34500000,3,1.0890091,2.0888831,2.0,SA501X4XB00794-A90703ABC-R03-C21
3,34500001,86500000,2,0.5518719,1.0585733,1.0,SA501X4XB00794-A90703ABC-R03-C21
3,86500001,114000000,3,1.052262,2.0183967,2.0,SA501X4XB00794-A90703ABC-R03-C21
3,114000001,152000000,4,1.5311308,2.9369391,3.0,SA501X4XB00794-A90703ABC-R03-C21
3,152000001,180500000,5,1.9472799,3.7351755,4.0,SA501X4XB00794-A90703ABC-R03-C21
3,180500001,198500000,2,0.4513576,0.8657718,1.0,SA501X4XB00794-A90703ABC-R03-C21
4,1,70500000,2,0.5023888,0.9636572,1.0,SA501X4XB00794-A90703ABC-R03-C21
4,70500001,135500000,3,1.0054553,1.9286145,2.0,SA501X4XB00794-A90703ABC-R03-C21
4,135500001,151500000,4,1.4490421,2.7794805,3.0,SA501X4XB00794-A90703ABC-R03-C21
4,151500001,191500000,2,0.5097501,0.9777772,1.0,SA501X4XB00794-A90703ABC-R03-C21
5,1,54500000,3,1.0888314,2.0885422,2.0,SA501X4XB00794-A90703ABC-R03-C21
5,54500001,127000000,2,0.4858121,0.9318607,1.0,SA501X4XB00794-A90703ABC-R03-C21
5,127000001,150500000,3,1.1120654,2.1331086,2.0,SA501X4XB00794-A90703ABC-R03-C21
5,150500001,181000000,2,0.5240203,1.0051497,1.0,SA501X4XB00794-A90703ABC-R03-C21
6,1,14000000,5,1.9169503,3.6769989,4.0,SA501X4XB00794-A90703ABC-R03-C21
6,14000001,32500000,4,1.4965533,2.8706142,3.0,SA501X4XB00794-A90703ABC-R03-C21
6,32500001,77000000,3,1.0235595,1.963341,2.0,SA501X4XB00794-A90703ABC-R03-C21
6,77000001,93500000,4,1.502526,2.8820708,3.0,SA501X4XB00794-A90703ABC-R03-C21
6,93500001,114500000,6,2.5701576,4.9299486,5.0,SA501X4XB00794-A90703ABC-R03-C21
6,114500001,158000000,5,2.1513483,4.1266094,4.0,SA501X4XB00794-A90703ABC-R03-C21
6,158000001,171500000,2,0.4914354,0.9426469,1.0,SA501X4XB00794-A90703ABC-R03-C21
7,1,135500000,3,1.0188439,1.9542957,2.0,SA501X4XB00794-A90703ABC-R03-C21
7,135500001,159500000,2,0.5678883,1.0892951,1.0,SA501X4XB00794-A90703ABC-R03-C21
8,1,68000000,2,0.5075488,0.9735549,1.0,SA501X4XB00794-A90703ABC-R03-C21
8,68000001,78000000,7,3.7367662,7.1676793,7.0,SA501X4XB00794-A90703ABC-R03-C21
8,78000001,92500000,3,1.0437537,2.0020766,2.0,SA501X4XB00794-A90703ABC-R03-C21
8,92500001,99500000,2,0.4797473,0.9202275,1.0,SA501X4XB00794-A90703ABC-R03-C21
8,99500001,146500000,4,1.5858221,3.0418452,3.0,SA501X4XB00794-A90703ABC-R03-C21
9,1,141500000,3,1.0570889,2.0276554,2.0,SA501X4XB00794-A90703ABC-R03-C21
10,1,118500000,3,0.9994199,1.9170376,2.0,SA501X4XB00794-A90703ABC-R03-C21
10,118500001,136000000,2,0.5259952,1.0089378,1.0,SA501X4XB00794-A90703ABC-R03-C21
11,1,33500000,3,1.0566274,2.0267702,2.0,SA501X4XB00794-A90703ABC-R03-C21
11,33500001,43500000,4,1.6136312,3.0951873,3.0,SA501X4XB00794-A90703ABC-R03-C21
11,43500001,91000000,3,1.0487641,2.0116873,2.0,SA501X4XB00794-A90703ABC-R03-C21
11,91000001,100500000,4,1.5187354,2.9131627,3.0,SA501X4XB00794-A90703ABC-R03-C21
11,100500001,135500000,3,1.0359581,1.9871233,2.0,SA501X4XB00794-A90703ABC-R03-C21
12,1,47000000,3,1.054792,2.0232496,2.0,SA501X4XB00794-A90703ABC-R03-C21
12,47000001,67500000,2,0.4909249,0.9416677,1.0,SA501X4XB00794-A90703ABC-R03-C21
12,67500001,134000000,3,0.9985612,1.9153905,2.0,SA501X4XB00794-A90703ABC-R03-C21
13,1,39000000,3,1.0780012,2.0677684,2.0,SA501X4XB00794-A90703ABC-R03-C21
13,39000001,83500000,2,0.4914847,0.9427415,1.0,SA501X4XB00794-A90703ABC-R03-C21
13,83500001,115500000,3,1.0240125,1.9642099,2.0,SA501X4XB00794-A90703ABC-R03-C21
14,1,93000000,2,0.4971244,0.9535593,1.0,SA501X4XB00794-A90703ABC-R03-C21
14,93000001,107500000,4,1.7593703,3.3747367,3.0,SA501X4XB00794-A90703ABC-R03-C21
15,1,103000000,3,1.0308554,1.9773356,2.0,SA501X4XB00794-A90703ABC-R03-C21
16,1,5500000,2,0.6082931,1.1667977,1.0,SA501X4XB00794-A90703ABC-R03-C21
16,5500001,15500000,7,3.0337661,5.8192195,6.0,SA501X4XB00794-A90703ABC-R03-C21
16,15500001,90500000,3,1.0415885,1.9979234,2.0,SA501X4XB00794-A90703ABC-R03-C21
17,1,40500000,2,0.4650578,0.8920508,1.0,SA501X4XB00794-A90703ABC-R03-C21
17,40500001,47500000,3,0.9771094,1.8742427,2.0,SA501X4XB00794-A90703ABC-R03-C21
17,47500001,81500000,4,1.4890657,2.8562519,3.0,SA501X4XB00794-A90703ABC-R03-C21
18,1,8000000,2,0.4925242,0.9447354,1.0,SA501X4XB00794-A90703ABC-R03-C21
18,8000001,56000000,3,0.9732742,1.8668862,2.0,SA501X4XB00794-A90703ABC-R03-C21
18,56000001,78500000,5,2.1095031,4.046344,4.0,SA501X4XB00794-A90703ABC-R03-C21
19,1,59500000,3,0.9982839,1.9148586,2.0,SA501X4XB00794-A90703ABC-R03-C21
20,1,25500000,2,0.5325031,1.0214209,1.0,SA501X4XB00794-A90703ABC-R03-C21
20,25500001,43000000,3,1.0590485,2.0314142,2.0,SA501X4XB00794-A90703ABC-R03-C21
20,43000001,50500000,2,0.5405957,1.0369438,1.0,SA501X4XB00794-A90703ABC-R03-C21
20,50500001,63500000,3,1.0400307,1.9949353,2.0,SA501X4XB00794-A90703ABC-R03-C21
21,1,38000000,3,1.0034483,1.9247647,2.0,SA501X4XB00794-A90703ABC-R03-C21
21,38000001,48500000,2,0.5926708,1.1368316,1.0,SA501X4XB00794-A90703ABC-R03-C21
22,1,51500000,3,1.1041935,2.1180092,2.0,SA501X4XB00794-A90703ABC-R03-C21
X,1,155500000,2,0.4951419,0.9497565,1.0,SA501X4XB00794-A90703ABC-R03-C21
Y,1,59500000,1,0.0,0.0,0.0,SA501X4XB00794-A90703ABC-R03-C21
1,1,14000000,2,0.4984993,0.9664669,1.0,SA501X4XB00794-A90703ABC-R03-C30
